"method","gene","moran","pval"
"Seurat","MMRN1",0.298429533073484,0
"Seurat","MPEG1",0.151171885523445,0
"Seurat","MS4A1",0.384076658263724,0
"Seurat","MS4A2",0.116003699251315,0
"Seurat","MS4A4A",0.209446942366801,0
"Seurat","MTUS1",0.130315959229013,0
"Seurat","MUC1",0.58192517985208,0
"Seurat","MUC5B",0.707969598039495,0
"Seurat","MYC",0.222447267537534,0
"Seurat","MYH11",0.684807036196152,0
"Seurat","MYO6",0.224083894692962,0
"Seurat","MZB1",0.361217887818967,0
"Seurat","NCEH1",0.090643068971534,0
"Seurat","NFKB1",0.0473046746830809,0
"Seurat","NID1",0.0877832296491948,0
"Seurat","NKG7",0.00985496241703555,9.53739843911783e-19
"Seurat","NTN4",0.0772138657404179,0
"Seurat","NTRK2",0.130531349335645,0
"Seurat","OTUD7B",0.0487437088226323,0
"Seurat","P2RX1",0.0378813001648811,9.66450149579987e-249
"Seurat","PAMR1",0.0602656281879493,0
"Seurat","PCNA",0.0569148247365423,0
"Seurat","PCOLCE2",0.136061714373088,0
"Seurat","PDCD1",-0.000191087035994658,0.566679520732176
"Seurat","PDCD1LG2",0.0416830894985092,1.25650391879167e-300
"Seurat","PDGFRA",0.0983677320771842,0
"Seurat","PDGFRB",0.100938136373923,0
"Seurat","PDPN",0.162862017693079,0
"Seurat","PEBP4",0.198270507386779,0
"Seurat","PI3",0.0475806156854178,0
"Seurat","PIM1",0.110542804764611,0
"Seurat","PIM2",0.228852206296058,0
"Seurat","PLA2G2A",0.144423086190324,0
"Seurat","PLA2G4F",0.060455657309217,0
"Seurat","PLA2G7",0.208491162036193,0
"Seurat","PLN",0.597750825729314,0
"Seurat","PLVAP",0.267089868920133,0
"Seurat","POU2AF1",0.237505919855381,0
"Seurat","PROX1",0.285051210058362,0
"Seurat","PTGS1",0.122480007048114,0
"Seurat","RAMP2",0.096343025300376,0
"Seurat","RARRES1",0.146427032402229,0
"Seurat","RBP4",0.0762907436294419,0
"Seurat","RERGL",0.209882015786973,0
"Seurat","RETN",0.116544647726415,0
"Seurat","RGS5",0.272067339842281,0
"Seurat","RND1",0.144853901970366,0
"Seurat","RUNX3",0.0844958744151385,0
"Seurat","S100A12",0.0835058908652046,0
"Seurat","S100A7",-8.23807625012356e-05,0.528357254825618
"Seurat","S100B",0.197847781181876,0
"Seurat","SAMD3",0.0468808151545927,0
"Seurat","SCEL",0.193407781057492,0
"Seurat","SEC11C",0.305472078727938,0
"Seurat","SELE",0.215937050445036,0
"Seurat","SELL",0.287173873273517,0
"Seurat","SELP",0.192492273116855,0
"Seurat","SEMA3B",0.14798162865884,0
"Seurat","SEMA3C",0.200989339435413,0
"Seurat","SERPINA3",0.127313886564911,0
"Seurat","SFRP2",0.261272036562966,0
"Seurat","SFTA2",0.294379940260777,0
